Student_ID,Age,Gender,Study_Hours,Attendance,Math_Score,Science_Score,English_Score,Computer_Score,Total_Score,Percentage,Grade
STU10001,19,Male,5.5,69.8,72,72,89,92,325,81.25,A
STU10002,20,Female,5.3,86.0,88,89,89,95,361,90.25,A+
STU10003,18,Female,7.3,75.7,88,88,81,88,345,86.25,A
STU10004,20,Male,6.8,66.3,87,97,100,97,381,95.25,A+
STU10005,20,Female,3.3,91.7,67,59,65,67,258,64.5,C
STU10006,17,Male,6.0,96.0,74,89,84,91,338,84.5,A
STU10007,18,Male,2.8,97.6,77,75,74,73,299,74.75,B
STU10008,18,Female,5.8,83.9,97,92,83,98,370,92.5,A+
STU10009,18,Male,3.6,88.3,60,54,45,73,232,58.0,D
STU10010,20,Female,2.7,95.7,57,67,81,65,270,67.5,C
STU10011,19,Female,5.0,75.6,78,76,79,83,316,79.0,B
STU10012,18,Male,0.5,93.1,72,68,79,68,287,71.75,B
STU10013,21,Male,1.3,84.8,59,74,62,83,278,69.5,C
STU10014,20,Male,4.2,91.1,65,71,77,66,279,69.75,C
STU10015,17,Male,4.6,83.9,73,68,66,71,278,69.5,C
STU10016,19,Male,3.8,95.0,91,81,71,100,343,85.75,A
STU10017,21,Male,1.7,84.2,71,57,58,67,253,63.25,C
STU10018,21,Male,3.0,67.2,64,74,59,74,271,67.75,C
STU10019,17,Female,5.2,96.5,100,86,96,100,382,95.5,A+
STU10020,19,Female,5.5,72.5,75,86,87,93,341,85.25,A
STU10021,20,Female,4.5,94.5,89,91,87,100,367,91.75,A+
STU10022,16,Male,6.6,81.1,70,81,74,93,318,79.5,B
STU10023,19,Male,5.2,93.8,70,61,71,74,276,69.0,C
STU10024,17,Female,3.2,93.3,71,78,64,87,300,75.0,B
STU10025,21,Female,4.0,86.3,76,68,65,84,293,73.25,B
STU10026,20,Male,2.0,87.1,78,72,73,75,298,74.5,B
STU10027,19,Female,4.3,86.2,92,85,92,96,365,91.25,A+
STU10028,16,Female,6.5,61.9,73,61,75,72,281,70.25,B
STU10029,16,Female,5.7,83.2,78,96,89,94,357,89.25,A
STU10030,18,Male,7.0,70.8,76,75,68,90,309,77.25,B
STU10031,18,Female,4.0,83.7,89,86,69,79,323,80.75,A
STU10032,17,Female,6.9,70.6,90,84,75,82,331,82.75,A
STU10033,19,Female,4.2,70.2,55,76,71,76,278,69.5,C
STU10034,19,Female,7.1,98.0,85,80,100,96,361,90.25,A+
STU10035,21,Female,4.5,92.7,76,76,71,81,304,76.0,B
STU10036,21,Female,5.8,82.0,81,84,75,92,332,83.0,A
STU10037,21,Male,7.2,83.8,76,81,77,83,317,79.25,B
STU10038,18,Female,4.2,79.5,70,74,76,88,308,77.0,B
STU10039,19,Female,4.9,87.7,79,91,84,95,349,87.25,A
STU10040,19,Female,6.8,75.2,86,93,100,100,379,94.75,A+
STU10041,16,Male,4.3,91.9,82,86,93,85,346,86.5,A
STU10042,18,Male,2.1,79.5,77,85,71,73,306,76.5,B
STU10043,20,Female,8.4,77.8,94,100,100,100,394,98.5,A+
STU10044,18,Female,3.7,82.2,70,79,64,67,280,70.0,B
STU10045,20,Female,4.8,76.1,70,61,53,63,247,61.75,C
STU10046,16,Female,6.6,85.3,88,95,100,99,382,95.5,A+
